stature,weightkg,chestcircumference,waistcircumference,pants_size,pants_color,tshirt_color,tshirt_size,crotchheight,buttockcircumference,Gender
1560,657,922,850,-,-,-,-,759,1011,Female
1665,534,839,708,-,-,-,-,835,893,Female
1711,663,874,727,-,-,-,-,821,987,Female
1660,782,1008,923,-,-,-,-,804,1012,Female
1572,886,1089,1163,-,-,-,-,726,1281,Female
1707,837,1031,968,-,-,-,-,864,1085,Female
1644,732,988,964,-,-,-,-,778,1049,Female
1671,760,968,914,-,-,-,-,803,1095,Female
1521,545,831,755,-,-,-,-,753,965,Female
1590,684,1010,944,-,-,-,-,750,1045,Female
1707,990,1065,935,-,-,-,-,810,1248,Female
1668,742,1034,942,-,-,-,-,822,1014,Female
1654,781,1063,995,-,-,-,-,781,1049,Female
1666,718,937,848,-,-,-,-,801,1012,Female
1599,709,989,929,-,-,-,-,772,1000,Female
1673,672,940,835,-,-,-,-,786,1007,Female
1647,620,835,772,-,-,-,-,765,969,Female
1678,595,897,805,-,-,-,-,833,941,Female
1679,741,979,868,-,-,-,-,835,1011,Female
1615,605,853,792,-,-,-,-,733,1021,Female
1517,800,1090,1137,-,-,-,-,664,1107,Female
1674,747,941,881,-,-,-,-,839,1050,Female
1623,491,857,702,-,-,-,-,770,867,Female
1668,703,973,954,-,-,-,-,800,1038,Female
1644,715,975,796,-,-,-,-,831,981,Female
1579,708,1026,1000,-,-,-,-,774,1069,Female
1446,488,832,742,-,-,-,-,610,917,Female
1620,691,921,912,-,-,-,-,774,997,Female
1684,730,1032,913,-,-,-,-,822,1042,Female
1619,610,904,821,-,-,-,-,802,960,Female
1592,658,951,930,-,-,-,-,755,1056,Female
1655,709,950,901,-,-,-,-,789,1035,Female
1723,728,965,935,-,-,-,-,839,1034,Female
1677,846,1115,1077,-,-,-,-,809,1154,Female
1654,945,1170,1112,-,-,-,-,764,1184,Female
1634,627,895,812,-,-,-,-,801,991,Female
1683,578,944,869,-,-,-,-,882,933,Female
1552,524,833,712,-,-,-,-,762,900,Female
1617,732,1025,1057,-,-,-,-,792,1052,Female
1588,791,982,964,-,-,-,-,731,1086,Female
1641,894,1060,1134,-,-,-,-,744,1175,Female
1685,689,991,869,-,-,-,-,812,979,Female
1656,758,994,942,-,-,-,-,775,1021,Female
1603,731,1071,1019,-,-,-,-,746,1041,Female
1608,748,945,865,-,-,-,-,743,1136,Female
1664,806,1094,975,-,-,-,-,795,1046,Female
1619,714,932,814,-,-,-,-,807,1030,Female
1620,712,1013,947,-,-,-,-,808,1053,Female
1720,657,910,794,-,-,-,-,869,1009,Female
1582,477,793,679,-,-,-,-,774,880,Female
1720,696,954,890,-,-,-,-,823,1050,Female
1720,1196,1161,1334,-,-,-,-,804,1306,Female
1701,887,1135,1076,-,-,-,-,837,1160,Female
1627,754,1095,1007,-,-,-,-,737,1075,Female
1536,678,1014,897,-,-,-,-,694,1044,Female
1546,607,946,832,-,-,-,-,723,1006,Female
1654,572,814,766,-,-,-,-,803,981,Female
1605,689,940,878,-,-,-,-,774,1028,Female
1630,712,988,943,-,-,-,-,794,1055,Female
1612,604,904,825,-,-,-,-,766,979,Female
1757,697,876,812,-,-,-,-,934,985,Female
1670,854,1090,1062,-,-,-,-,825,1167,Female
1632,617,943,914,-,-,-,-,770,1051,Female
1635,790,1132,987,-,-,-,-,767,1066,Female
1682,672,977,868,-,-,-,-,774,1007,Female
1661,695,977,839,-,-,-,-,777,1050,Female
1596,669,1006,814,-,-,-,-,754,974,Female
1596,574,936,804,-,-,-,-,758,989,Female
1665,815,1065,925,-,-,-,-,775,1088,Female
1617,618,890,805,-,-,-,-,776,993,Female
1555,645,900,811,-,-,-,-,771,1042,Female
1578,557,862,757,-,-,-,-,729,969,Female
1581,614,896,839,-,-,-,-,718,967,Female
1698,668,943,821,-,-,-,-,762,1051,Female
1554,730,1092,1001,-,-,-,-,705,1028,Female
1756,737,920,860,-,-,-,-,835,1045,Female
1566,693,1071,922,-,-,-,-,714,1016,Female
1651,757,1001,1012,-,-,-,-,816,1057,Female
1585,740,1126,981,-,-,-,-,723,1049,Female
1657,682,982,870,-,-,-,-,808,1030,Female
1719,867,1069,931,-,-,-,-,808,1200,Female
1822,882,1061,895,-,-,-,-,888,1165,Female
1649,786,1031,925,-,-,-,-,785,1141,Female
1687,622,924,751,-,-,-,-,773,985,Female
1698,782,999,1019,-,-,-,-,828,1115,Female
1530,608,865,784,-,-,-,-,733,1060,Female
1581,674,998,917,-,-,-,-,712,1023,Female
1609,686,930,865,-,-,-,-,773,1032,Female
1644,670,934,847,-,-,-,-,798,1015,Female
1548,635,856,785,-,-,-,-,760,1011,Female
1606,773,979,1004,-,-,-,-,732,1084,Female
1642,555,852,759,-,-,-,-,763,945,Female
1622,727,1014,955,-,-,-,-,714,1104,Female
1669,593,841,694,-,-,-,-,794,947,Female
1745,998,1057,1068,-,-,-,-,845,1205,Female
1495,581,986,948,-,-,-,-,683,999,Female
1493,642,951,912,-,-,-,-,691,1045,Female
1641,758,1068,989,-,-,-,-,790,1027,Female
1607,683,945,887,-,-,-,-,721,1051,Female
1560,471,826,698,-,-,-,-,729,871,Female
1625,665,978,822,-,-,-,-,764,975,Female
1670,685,978,885,-,-,-,-,766,1027,Female
1616,579,870,764,-,-,-,-,750,947,Female
1582,647,1080,943,-,-,-,-,725,966,Female
1730,591,921,809,-,-,-,-,847,951,Female
1501,450,846,739,-,-,-,-,709,874,Female
1515,572,959,826,-,-,-,-,674,960,Female
1576,721,1022,962,-,-,-,-,738,1030,Female
1628,676,878,849,-,-,-,-,790,1029,Female
1586,711,1029,951,-,-,-,-,716,1048,Female
1737,791,936,889,-,-,-,-,829,1083,Female
1576,536,834,790,-,-,-,-,734,974,Female
1626,639,931,811,-,-,-,-,790,966,Female
1604,628,981,831,-,-,-,-,782,991,Female
1673,788,1037,958,-,-,-,-,784,1069,Female
1642,598,981,761,-,-,-,-,774,955,Female
1538,752,1052,1070,-,-,-,-,724,1079,Female
1574,686,1028,923,-,-,-,-,733,1005,Female
1637,668,946,949,-,-,-,-,778,1055,Female
1620,613,930,858,-,-,-,-,753,976,Female
1733,742,937,859,-,-,-,-,824,1041,Female
1526,522,810,721,-,-,-,-,714,876,Female
1732,767,991,908,-,-,-,-,820,1069,Female
1624,661,985,880,-,-,-,-,755,1030,Female
1507,505,844,759,-,-,-,-,694,902,Female
1560,637,965,919,-,-,-,-,732,1033,Female
1640,666,985,908,-,-,-,-,806,980,Female
1675,610,862,731,-,-,-,-,806,965,Female
1526,581,863,820,-,-,-,-,696,975,Female
1623,609,870,821,-,-,-,-,770,932,Female
1584,575,815,740,-,-,-,-,738,1054,Female
1671,797,1057,1024,-,-,-,-,768,1100,Female
1552,745,1137,932,-,-,-,-,699,1090,Female
1633,614,874,827,-,-,-,-,738,981,Female
1530,677,1004,896,-,-,-,-,715,1061,Female
1606,508,844,738,-,-,-,-,754,968,Female
1617,633,950,832,-,-,-,-,763,1033,Female
1645,711,1013,851,-,-,-,-,748,1042,Female
1681,727,960,859,-,-,-,-,808,1049,Female
1655,679,992,906,-,-,-,-,782,1050,Female
1626,833,1069,1028,-,-,-,-,763,1136,Female
1635,622,838,786,-,-,-,-,800,990,Female
1572,616,962,853,-,-,-,-,737,966,Female
1608,573,899,745,-,-,-,-,742,950,Female
1662,507,828,737,-,-,-,-,795,925,Female
1582,611,940,802,-,-,-,-,745,998,Female
1701,866,1156,1045,-,-,-,-,852,1114,Female
1602,523,886,763,-,-,-,-,742,925,Female
1549,676,991,955,-,-,-,-,705,1090,Female
1561,549,899,719,-,-,-,-,755,920,Female
1677,571,889,746,-,-,-,-,825,935,Female
1594,644,907,874,-,-,-,-,754,1035,Female
1628,649,940,772,-,-,-,-,756,1018,Female
1549,592,949,802,-,-,-,-,725,972,Female
1559,563,866,719,-,-,-,-,707,974,Female
1619,580,907,862,-,-,-,-,734,955,Female
1690,810,983,1044,-,-,-,-,800,1088,Female
1698,649,895,817,-,-,-,-,805,1001,Female
1705,654,892,817,-,-,-,-,798,997,Female
1625,570,875,816,-,-,-,-,795,955,Female
1666,805,1012,939,-,-,-,-,771,1139,Female
1559,671,1026,863,-,-,-,-,732,1035,Female
1595,673,977,915,-,-,-,-,745,1064,Female
1634,550,812,764,-,-,-,-,799,932,Female
1643,708,913,899,-,-,-,-,814,1068,Female
1667,538,943,782,-,-,-,-,782,933,Female
1661,771,1032,897,-,-,-,-,783,1051,Female
1560,602,878,817,-,-,-,-,776,1008,Female
1610,719,971,900,-,-,-,-,746,1062,Female
1610,617,906,830,-,-,-,-,766,1009,Female
1682,761,1024,947,-,-,-,-,781,1062,Female
1604,739,1028,958,-,-,-,-,754,1050,Female
1540,560,881,767,-,-,-,-,721,981,Female
1638,647,919,777,-,-,-,-,795,948,Female
1656,724,918,896,-,-,-,-,740,1081,Female
1597,708,1118,968,-,-,-,-,771,992,Female
1749,953,1130,997,-,-,-,-,880,1101,Female
1661,748,1002,879,-,-,-,-,775,1058,Female
1526,700,1039,1000,-,-,-,-,749,1030,Female
1583,655,934,931,-,-,-,-,733,1078,Female
1533,499,844,748,-,-,-,-,722,916,Female
1575,553,821,734,-,-,-,-,773,940,Female
1776,924,1072,1021,-,-,-,-,825,1171,Female
1713,716,1084,874,-,-,-,-,806,1016,Female
1653,676,918,803,-,-,-,-,748,992,Female
1516,641,1032,935,-,-,-,-,709,1017,Female
1658,666,971,810,-,-,-,-,820,983,Female
1617,663,1022,882,-,-,-,-,749,1021,Female
1687,763,987,920,-,-,-,-,829,1084,Female
1603,717,1036,1085,-,-,-,-,779,1099,Female
1539,643,990,923,-,-,-,-,692,1003,Female
1603,591,965,840,-,-,-,-,756,973,Female
1620,529,817,783,-,-,-,-,758,920,Female
1617,694,993,924,-,-,-,-,765,1076,Female
1600,699,1031,972,-,-,-,-,738,1040,Female
1572,592,877,774,-,-,-,-,769,981,Female
1632,540,818,708,-,-,-,-,774,926,Female
1690,701,945,879,-,-,-,-,780,1092,Female
1682,681,916,830,-,-,-,-,776,1010,Female
1657,864,1050,980,-,-,-,-,780,1150,Female
1672,672,881,883,-,-,-,-,808,1010,Female
1621,559,912,754,-,-,-,-,745,933,Female
1623,566,854,767,-,-,-,-,736,956,Female
1633,585,887,868,-,-,-,-,767,958,Female
1526,628,1005,938,-,-,-,-,727,979,Female
1570,467,825,682,-,-,-,-,753,836,Female
1616,599,874,762,-,-,-,-,776,978,Female
1690,642,972,802,-,-,-,-,805,1020,Female
1637,813,1026,1060,-,-,-,-,748,1144,Female
1718,719,979,922,-,-,-,-,833,1060,Female
1588,548,873,783,-,-,-,-,732,974,Female
1520,485,844,707,-,-,-,-,700,877,Female
