stature,weightkg,chestcircumference,waistcircumference,pants_size,pants_color,tshirt_color,tshirt_size,crotchheight,buttockcircumference
1776,815,1074,933,-,-,-,-,877,979
1702,726,1021,870,-,-,-,-,851,944
1735,929,1120,964,-,-,-,-,854,1054
1655,794,1114,857,-,-,-,-,769,991
1914,946,1048,868,-,-,-,-,1014,1029
1720,802,1066,950,-,-,-,-,828,973
1810,1162,1208,1073,-,-,-,-,874,1139
1850,954,1087,1010,-,-,-,-,934,1068
1777,995,1181,1065,-,-,-,-,875,1061
1811,702,964,824,-,-,-,-,909,916
1780,882,1117,994,-,-,-,-,839,1027
1733,701,961,866,-,-,-,-,872,928
1814,1037,1151,986,-,-,-,-,923,1082
1861,1116,1231,1045,-,-,-,-,913,1112
1709,896,1060,1007,-,-,-,-,804,1136
1740,924,1092,1033,-,-,-,-,885,1009
1694,779,1085,908,-,-,-,-,810,985
1766,969,1118,1028,-,-,-,-,860,1051
1748,760,999,874,-,-,-,-,876,974
1794,908,1127,999,-,-,-,-,861,1035
1780,714,1000,837,-,-,-,-,863,929
1680,746,977,880,-,-,-,-,785,1013
1653,792,1079,978,-,-,-,-,807,1029
1959,915,1011,827,-,-,-,-,1019,1008
1755,965,1098,1030,-,-,-,-,819,1056
1630,675,957,885,-,-,-,-,788,923
1825,1073,1158,1130,-,-,-,-,866,1146
1795,793,964,912,-,-,-,-,857,996
1745,782,971,864,-,-,-,-,857,1016
1818,882,1057,965,-,-,-,-,864,1048
1881,715,957,777,-,-,-,-,924,915
1760,947,1108,1063,-,-,-,-,854,1092
1675,665,947,870,-,-,-,-,822,917
1852,879,1043,966,-,-,-,-,920,1047
1785,675,965,806,-,-,-,-,865,931
1791,884,1174,1096,-,-,-,-,867,1015
1685,695,951,895,-,-,-,-,815,941
1850,1218,1182,1214,-,-,-,-,892,1221
1737,719,981,790,-,-,-,-,857,931
1743,881,1086,1002,-,-,-,-,818,1032
1744,575,865,748,-,-,-,-,836,872
1679,876,1205,1043,-,-,-,-,823,1026
1836,850,1013,864,-,-,-,-,870,998
1730,865,1152,969,-,-,-,-,829,988
1762,958,1096,1095,-,-,-,-,841,1115
1669,667,957,770,-,-,-,-,765,901
1740,706,985,840,-,-,-,-,838,973
1709,847,1063,1028,-,-,-,-,815,1002
1879,1013,1137,1021,-,-,-,-,904,1063
1674,856,1106,1061,-,-,-,-,789,1051
1779,1095,1166,1139,-,-,-,-,829,1243
1844,834,1081,922,-,-,-,-,894,1007
1637,727,1006,995,-,-,-,-,801,981
1754,986,1153,1047,-,-,-,-,833,1030
1704,773,1037,885,-,-,-,-,796,954
1840,1400,1469,1379,-,-,-,-,897,1265
1783,674,901,750,-,-,-,-,911,897
1748,884,1071,970,-,-,-,-,813,1067
1703,988,1263,1068,-,-,-,-,839,1099
1852,952,1146,1012,-,-,-,-,890,1023
1609,566,858,754,-,-,-,-,789,877
1709,717,1044,926,-,-,-,-,852,968
1835,717,904,827,-,-,-,-,900,952
1679,802,1033,940,-,-,-,-,824,1032
1742,988,1160,1133,-,-,-,-,821,1074
1698,662,971,843,-,-,-,-,825,922
1671,807,1050,1021,-,-,-,-,792,1025
1850,1053,1213,1061,-,-,-,-,926,1087
1754,683,944,786,-,-,-,-,862,939
1619,749,989,855,-,-,-,-,786,952
1772,738,975,830,-,-,-,-,860,956
1705,604,939,743,-,-,-,-,874,823
1619,774,1091,967,-,-,-,-,775,999
1726,768,983,922,-,-,-,-,809,976
1840,1022,1129,1120,-,-,-,-,905,1116
1743,963,1205,1060,-,-,-,-,825,1071
1674,923,1123,1030,-,-,-,-,765,1081
1750,988,1129,974,-,-,-,-,872,1073
1819,887,1048,844,-,-,-,-,876,1042
1799,987,1063,969,-,-,-,-,915,1022
1750,852,1098,1010,-,-,-,-,873,1017
1723,748,972,892,-,-,-,-,875,972
1809,920,1127,1032,-,-,-,-,888,1006
1791,744,963,851,-,-,-,-,851,949
1723,823,1098,979,-,-,-,-,816,986
1578,627,953,857,-,-,-,-,724,926
1718,778,1024,979,-,-,-,-,842,990
1799,882,1043,984,-,-,-,-,844,1070
1740,590,902,721,-,-,-,-,881,847
1702,730,1008,885,-,-,-,-,804,939
1737,864,1027,961,-,-,-,-,841,1054
1730,866,1044,996,-,-,-,-,830,1046
1785,737,917,838,-,-,-,-,864,997
1817,654,917,752,-,-,-,-,909,884
1843,696,924,775,-,-,-,-,896,931
1791,775,994,809,-,-,-,-,891,973
1657,727,1001,862,-,-,-,-,802,999
1701,797,1069,1027,-,-,-,-,822,988
1786,744,995,797,-,-,-,-,853,1007
1755,968,1104,1082,-,-,-,-,821,1118
1791,866,1045,942,-,-,-,-,892,965
1759,742,1015,871,-,-,-,-,846,997
1790,920,1109,912,-,-,-,-,871,1089
1782,814,991,873,-,-,-,-,823,983
1839,646,844,785,-,-,-,-,901,890
1880,954,1176,1023,-,-,-,-,952,1059
1738,853,1085,924,-,-,-,-,818,1018
1734,900,1085,1001,-,-,-,-,799,1047
1819,835,1021,901,-,-,-,-,934,988
1683,851,1096,958,-,-,-,-,805,1003
1815,897,1063,972,-,-,-,-,891,1052
1815,872,1030,939,-,-,-,-,837,1068
1673,822,1106,1003,-,-,-,-,792,1022
1831,1112,1163,1139,-,-,-,-,860,1072
1795,987,1089,1162,-,-,-,-,875,1153
1845,1105,1149,1111,-,-,-,-,861,1124
1687,782,1041,900,-,-,-,-,776,965
1756,869,1056,998,-,-,-,-,847,997
1846,1413,1358,1330,-,-,-,-,920,1234
1657,789,1025,897,-,-,-,-,781,1008
1632,690,1000,911,-,-,-,-,777,933
1735,792,1026,861,-,-,-,-,850,1003
1726,699,989,920,-,-,-,-,826,912
1877,1212,1251,1192,-,-,-,-,880,1176
